episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,scenario_name,policy_reward_min/metanash,policy_reward_min/best_response,policy_reward_max/metanash,policy_reward_max/best_response,policy_reward_mean/metanash,policy_reward_mean/best_response,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/best_response/loss,info/learner/best_response/num_agent_steps_trained,info/learner/best_response/learner_stats/allreduce_latency
0.0,0.0,0.0,2.642,383,4,230400,4096,230398,False,91090,210,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-28,1651738588,0.5237925052642822,119.41441655158997,2851445,sjtu-marl1,192.168.2.51,119.41441655158997,860160,210,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.173,0.173,0.23813540506771405,0.45716908066768897,0.029058634849053345,0.08558580931241298,0.0,0.13,31464961.875,6.155,665468.55,1.328,230400,230398,860160,4096,1720320,221184,21,7.8,5.0,0.8306101560592651,4096.0,0.0
0.0,0.0,0.0,2.49,406,4,240640,4096,240636,False,95128,220,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-33,1651738593,0.5010192394256592,125.02457404136658,2851445,sjtu-marl1,192.168.2.51,125.02457404136658,901120,220,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.215,0.215,0.23766833367095963,0.4565563076911684,0.02900787037775959,0.08546054662170678,0.0,0.129,31779262.272,6.396,640356.529,1.379,240640,240636,901120,4096,1802240,231424,22,5.9,5.1,0.7929405570030212,4096.0,0.0
0.0,0.0,0.0,2.502,406,4,250880,4096,250880,False,99078,230,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-39,1651738599,0.4395730495452881,130.73638033866882,2851445,sjtu-marl1,192.168.2.51,130.73638033866882,942080,230,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.188,0.188,0.2373921760509587,0.4563879561551591,0.02900860166939785,0.08545695669047604,0.0,0.135,30390711.452,6.35,645057.06,1.38,250880,250880,942080,4096,1884160,241664,23,7.6,5.1,0.8151299357414246,4096.0,0.0
0.0,0.0,0.0,2.646,385,4,261120,4096,261117,False,103035,240,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-44,1651738604,0.4900491237640381,136.0125608444214,2851445,sjtu-marl1,192.168.2.51,136.0125608444214,983040,240,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.168,0.168,0.23741892782715907,0.4564547917763267,0.029036871306326383,0.08552527046364876,0.0,0.135,30342404.069,6.234,657056.882,1.247,261120,261117,983040,4096,1966080,251904,24,7.3,5.1,0.8188822269439697,4096.0,0.0
0.0,0.0,0.0,2.497,410,4,271360,4096,271357,False,107103,250,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-50,1651738610,0.4713914394378662,141.78147292137146,2851445,sjtu-marl1,192.168.2.51,141.78147292137146,1024000,250,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.146,0.146,0.23734470133041335,0.45646855892466354,0.029020535296720888,0.08549440495171044,0.0,0.126,32624134.417,6.324,647720.113,1.424,271360,271357,1024000,4096,2048000,262144,25,7.4,5.1,0.8169124722480774,4096.0,0.0
0.0,0.0,0.0,2.503,410,4,281600,4096,281598,False,111098,260,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-56,1651738616,1.1120378971099854,147.78608560562134,2851445,sjtu-marl1,192.168.2.51,147.78608560562134,1064960,260,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.246,0.246,0.23753350899991996,0.4569373968225761,0.02905707661983827,0.0855877371550249,0.0,0.129,31820465.242,6.4,640003.471,1.418,281600,281598,1064960,4096,2129920,272384,26,6.9,5.2,0.7806004285812378,4096.0,0.0
0.0,0.0,0.0,2.507,409,4,291840,4096,291838,False,115139,270,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-02,1651738622,0.48891353607177734,153.2608983516693,2851445,sjtu-marl1,192.168.2.51,153.2608983516693,1105920,270,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.026,0.026,0.23779203192781395,0.4573236399459624,0.029084582744599515,0.08567191938073837,0.0,0.129,31849961.409,6.095,672036.316,1.408,291840,291838,1105920,4096,2211840,282624,27,7.3,5.2,0.7910116314888,4096.0,0.0
0.0,0.0,0.0,2.485,415,4,302080,4096,302078,False,119108,280,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-08,1651738628,1.0896217823028564,159.15454411506653,2851445,sjtu-marl1,192.168.2.51,159.15454411506653,1146880,280,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.098,0.098,0.23765059516303869,0.45716092691044796,0.029080163361062308,0.0856500835465747,0.0,0.129,31744030.273,5.944,689074.563,1.411,302080,302078,1146880,4096,2293760,292864,28,6.15,5.2,0.8114829659461975,4096.0,0.0
0.0,0.0,0.0,2.525,405,4,312320,4096,312318,False,123200,290,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-13,1651738633,0.48695921897888184,164.65878796577454,2851445,sjtu-marl1,192.168.2.51,164.65878796577454,1187840,290,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.059,0.059,0.23779020242137733,0.4572600058504837,0.029087479373391695,0.08569558387810619,0.0,0.136,30177181.071,6.422,637855.378,1.364,312320,312318,1187840,4096,2375680,303104,29,9.0,5.3,0.8482877016067505,4096.0,0.0
0.0,0.0,0.0,2.501,410,4,322560,4096,322558,False,127318,300,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-19,1651738639,0.47431159019470215,169.99399137496948,2851445,sjtu-marl1,192.168.2.51,169.99399137496948,1228800,300,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.136,0.136,0.23776436142313004,0.4569771313619184,0.02907793781989094,0.08566757789715983,0.0,0.136,30018992.109,6.72,609532.955,1.435,322560,322558,1228800,4096,2457600,313344,30,8.8,5.3,0.8467575311660767,4096.0,0.0
0.0,0.0,0.0,2.664,385,4,332800,4096,332796,False,131178,310,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-25,1651738645,1.1391088962554932,175.9514832496643,2851445,sjtu-marl1,192.168.2.51,175.9514832496643,1269760,310,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.16,0.16,0.23780580043450428,0.45710846314216463,0.029114071302666012,0.0857393206109156,0.0,0.132,30999403.075,5.923,691587.733,1.383,332800,332796,1269760,4096,2539520,323584,31,6.45,5.3,0.8551737070083618,4096.0,0.0
0.0,0.0,0.0,2.515,407,4,343040,4096,343037,False,135196,320,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-31,1651738651,0.4493539333343506,181.68957686424255,2851445,sjtu-marl1,192.168.2.51,181.68957686424255,1310720,320,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.138,0.138,0.23776059297266144,0.45819151849422984,0.029102987478457826,0.08572265521117689,0.0,0.13,31395959.766,6.021,680283.091,1.283,343040,343037,1310720,4096,2621440,333824,32,7.3,5.3,0.8873932361602783,4096.0,0.0
0.0,0.0,0.0,2.648,394,4,353280,4096,353278,False,139248,330,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-36,1651738656,0.48102760314941406,187.1337296962738,2851445,sjtu-marl1,192.168.2.51,187.1337296962738,1351680,330,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.144,0.144,0.23774366702810898,0.45784853470147313,0.029106843573538977,0.08573468004027075,0.0,0.128,31897269.187,6.225,658008.158,1.364,353280,353278,1351680,4096,2703360,344064,33,,,0.8828977346420288,4096.0,0.0
0.0,0.0,0.0,2.499,415,4,363520,4096,363518,False,143254,340,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-42,1651738662,0.4382152557373047,192.62080025672913,2851445,sjtu-marl1,192.168.2.51,192.62080025672913,1392640,340,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.053,0.053,0.23774114555507173,0.4581588687851745,0.029114577161939374,0.08574745906480807,0.0,0.129,31650459.071,5.836,701872.321,1.292,363520,363518,1392640,4096,2785280,354304,34,8.4,5.4,0.8797799944877625,4096.0,0.0
0.0,0.0,0.0,2.504,410,4,373760,4096,373758,False,147228,350,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-48,1651738668,0.489260196685791,198.93516039848328,2851445,sjtu-marl1,192.168.2.51,198.93516039848328,1433600,350,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.28,0.28,0.2376808262868019,0.45813341193936313,0.02911784682575427,0.0857617586286734,0.0,0.136,30108428.293,6.28,652259.736,1.425,373760,373758,1433600,4096,2867200,364544,35,,,0.875350296497345,4096.0,0.0
0.0,0.0,0.0,2.674,385,4,384000,4096,383997,False,151206,360,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-54,1651738674,0.4974043369293213,204.54678010940552,2851445,sjtu-marl1,192.168.2.51,204.54678010940552,1474560,360,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.176,0.176,0.2377236799001541,0.4580425657807508,0.029142860617318262,0.08581779665494645,0.0,0.131,31327259.635,6.117,669595.129,1.426,384000,383997,1474560,4096,2949120,374784,36,7.3,5.4,0.8648892641067505,4096.0,0.0
0.0,0.0,0.0,2.501,405,4,394240,4096,394237,False,155245,370,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-17-59,1651738679,0.4339015483856201,210.2020947933197,2851445,sjtu-marl1,192.168.2.51,210.2020947933197,1515520,370,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.188,0.188,0.23804772050687653,0.45881162916618223,0.029171770216045317,0.08589388685159631,0.0,0.13,31499576.795,5.778,708948.132,1.358,394240,394237,1515520,4096,3031040,385024,37,,,0.9280972480773926,4096.0,0.0
0.0,0.0,0.0,2.546,406,4,404480,4096,404477,False,159162,380,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-18-05,1651738685,0.48726511001586914,215.79682564735413,2851445,sjtu-marl1,192.168.2.51,215.79682564735413,1556480,380,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.232,0.232,0.23834351608178295,0.459385758694522,0.029200300419483786,0.08600756403465198,0.0,0.13,31627152.401,6.258,654518.582,1.393,404480,404477,1556480,4096,3112960,395264,38,8.3,5.4,0.9176199436187744,4096.0,0.0
0.0,0.0,0.0,2.656,384,4,414720,4096,414716,False,163124,390,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-18-11,1651738691,1.2150213718414307,221.9959728717804,2851445,sjtu-marl1,192.168.2.51,221.9959728717804,1597440,390,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.185,0.185,0.23823729173901528,0.4589929877141881,0.02921013835463836,0.0860044384184103,0.0,0.131,31264548.106,6.061,675784.817,1.481,414720,414716,1597440,4096,3194880,405504,39,6.3,5.4,0.8981354832649231,4096.0,0.0
0.0,0.0,0.0,2.561,384,4,424960,4096,424957,False,167168,400,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-18-17,1651738697,0.4502081871032715,227.64990735054016,2851445,sjtu-marl1,192.168.2.51,227.64990735054016,1638400,400,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.161,0.161,0.23808181252903474,0.4589576600939174,0.029174973150578213,0.08596116515027072,0.0,0.134,30520286.346,6.13,668225.191,1.442,424960,424957,1638400,4096,3276800,415744,40,7.4,5.4,0.8855283856391907,4096.0,0.0
0.0,0.0,0.0,2.556,383,4,435200,4096,435196,False,171102,410,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-18-23,1651738703,0.46895337104797363,233.24645280838013,2851445,sjtu-marl1,192.168.2.51,233.24645280838013,1679360,410,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.2,0.2,0.23805045626335383,0.45905634098727427,0.029191343932848772,0.085986234711405,0.0,0.141,29010248.538,6.159,665064.095,1.436,435200,435196,1679360,4096,3358720,425984,41,,,0.921758770942688,4096.0,0.0
0.0,0.0,0.0,2.501,405,4,445440,4096,445436,False,175091,420,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-18-28,1651738708,0.4512510299682617,238.75925707817078,2851445,sjtu-marl1,192.168.2.51,238.75925707817078,1720320,420,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.206,0.206,0.23813791576230012,0.45922738245896366,0.029216162438216068,0.086001320295431,0.0,0.13,31557437.884,5.997,682965.843,1.381,445440,445436,1720320,4096,3440640,436224,42,7.6,5.5,0.8961653709411621,4096.0,0.0
